ID,Gene Symbol
1553367_PM_a_at,COX6B2
1553369_PM_at,FAM129C
1553371_PM_at,EPHA10
1553372_PM_at,FLJ23865
1553373_PM_at,WDR64
1553374_PM_at,PRO2949
1553375_PM_at,BTBD9
1553376_PM_a_at,C1orf125
1553378_PM_a_at,C17orf66
1553380_PM_at,PARP15
1553383_PM_at,ARHGAP42
1553385_PM_at,LOC84931
1553386_PM_at,MFSD2A
1553387_PM_at,ATM
1553388_PM_at,FAM26D
1553389_PM_at,NPHP3
1553390_PM_at,ATG9B
1553391_PM_at,CXorf58
1553392_PM_at,EFCAB3
1553394_PM_a_at,TFAP2B
1553395_PM_a_at,CD200R1
1553396_PM_a_at,CCDC13
1553397_PM_at,CCDC13
1553398_PM_at,
1553399_PM_a_at,C17orf69
1553400_PM_a_at,C17orf69
1553401_PM_at,MRGPRX1
1553402_PM_a_at,HFE
1553403_PM_at,RLN3
1553405_PM_a_at,CSMD1
1553407_PM_at,MACF1
1553409_PM_at,ADAMTS20
1553410_PM_a_at,ABCC12
1553411_PM_s_at,SALL3
1553412_PM_at,AGBL4
1553413_PM_at,FLJ13744
1553415_PM_at,SLC17A8
1553417_PM_at,C11orf44
1553418_PM_a_at,CNTNAP5
1553420_PM_at,FLJ32063
1553422_PM_s_at,A2BP1
1553423_PM_a_at,SLFN13
1553424_PM_at,C12orf40
1553425_PM_at,WDR65
1553426_PM_at,FLJ37543
1553427_PM_at,ADAMTS15
1553428_PM_at,LOC285780
1553429_PM_at,FLJ31713
1553430_PM_a_at,EDARADD
1553432_PM_s_at,LOC653786 /// OTOA
1553433_PM_at,C9orf93
1553434_PM_at,CYP4Z2P
1553435_PM_at,C18orf15
1553436_PM_at,MUC19
1553437_PM_at,KLHDC7A
1553438_PM_at,C11orf72
1553439_PM_at,
1553440_PM_at,C18orf16
1553441_PM_at,CNTNAP4
1553442_PM_a_at,CNTNAP4
1553443_PM_at,C8orf54
1553444_PM_a_at,C1orf127
1553446_PM_at,FLJ37396
1553447_PM_at,AGBL1
1553448_PM_at,FLJ34503
1553449_PM_at,C16orf81
1553450_PM_s_at,C16orf81
1553451_PM_at,CCDC79
1553452_PM_at,MYO1H
1553453_PM_at,ASB14
1553454_PM_at,RPTN
1553456_PM_at,
1553457_PM_at,CXorf62
1553458_PM_at,C10orf72
